investment_asset_id,name,asset_type,isin,ticker,internal_investment_code,issuer_id,sector,country,currency
AE_ENBD,Emirates NBD,LISTED_EQUITY,AEE001,ENBD,,ISS_ENBD,Banking,AE,AED
AE_FAB,First Abu Dhabi Bank,LISTED_EQUITY,AEF002,FAB,,ISS_FAB,Banking,AE,AED
AE_ADCB,Abu Dhabi Commercial Bank,LISTED_EQUITY,AEA003,ADCB,,ISS_ADCB,Banking,AE,AED
AE_DIB_SUK,Dubai Islamic Bank Sukuk,LISTED_BOND,AED004,DIB,,ISS_DIB,Banking,AE,AED
AE_ADNOCGAS,ADNOC Gas,LISTED_EQUITY,AEA005,ADNOC,,ISS_ADNOC,Energy,AE,AED
AE_EAND,e& (Etisalat),LISTED_EQUITY,AEE006,EAND,,ISS_EAND,Telecom,AE,AED
AE_EMAAR,Emaar Properties,LISTED_EQUITY,AEE007,EMAAR,,ISS_EMAAR,RealEstate,AE,AED
AE_ALDAR,Aldar Properties,LISTED_EQUITY,AEA008,ALDAR,,ISS_ALDAR,RealEstate,AE,AED
US_AAPL,Apple Inc,LISTED_EQUITY,US0378,AAPL,,ISS_AAPL,Technology,US,USD
US_MSFT,Microsoft Corp,LISTED_EQUITY,US5949,MSFT,,ISS_MSFT,Technology,US,USD
PE_GULFLOG,Gulf Logistics Holding,PRIVATE_COMPANY,,,PVT-GLOG,ISS_GULFLOG,Industrials,AE,USD
FUND_GBOND,Global Bond Fund,FUND,,,FND-GBND,ISS_GBF,FixedIncome,US,USD
