portfolio_id,as_of_date,investment_asset_id,quantity
GULF_EQ,2026-05-28,AE_ENBD,100000
GULF_EQ,2026-05-28,AE_FAB,80000
GULF_EQ,2026-05-28,AE_ADCB,60000
GULF_EQ,2026-05-28,AE_DIB_SUK,5000
GULF_EQ,2026-05-28,AE_ADNOCGAS,40000
GULF_EQ,2026-05-28,AE_EMAAR,30000
GULF_EQ,2026-05-28,AE_ALDAR,20000
GLOBAL_BAL,2026-05-28,US_AAPL,5000
GLOBAL_BAL,2026-05-28,US_MSFT,4000
GLOBAL_BAL,2026-05-28,AE_ENBD,10000
GLOBAL_BAL,2026-05-28,AE_ADNOCGAS,8000
GLOBAL_BAL,2026-05-28,AE_EAND,15000
INCOME_FI,2026-05-28,AE_DIB_SUK,50000
INCOME_FI,2026-05-28,AE_ENBD,5000
GULF_EQ,2026-05-29,AE_ENBD,100000
GULF_EQ,2026-05-29,AE_FAB,80000
GULF_EQ,2026-05-29,AE_ADCB,60000
GULF_EQ,2026-05-29,AE_DIB_SUK,5000
GULF_EQ,2026-05-29,AE_ADNOCGAS,40000
GULF_EQ,2026-05-29,AE_EMAAR,30000
GULF_EQ,2026-05-29,AE_ALDAR,20000
GLOBAL_BAL,2026-05-29,US_AAPL,5000
GLOBAL_BAL,2026-05-29,US_MSFT,4000
GLOBAL_BAL,2026-05-29,AE_ENBD,10000
GLOBAL_BAL,2026-05-29,AE_ADNOCGAS,8000
GLOBAL_BAL,2026-05-29,AE_EAND,15000
INCOME_FI,2026-05-29,AE_DIB_SUK,50000
INCOME_FI,2026-05-29,AE_ENBD,5000
